name,tile,split,bin,fg_fraction,n_buildings_ob,group
map67_3-3_001536_006144.png,map67_3-3,train,moderate,0.19322967529296875,22,working
map67_1-3_000512_005120.png,map67_1-3,train,moderate,0.19891357421875,19,working
map67_3-2_006144_008192.png,map67_3-2,train,sparse,0.07900238037109375,10,working
map67_3-3_005120_005632.png,map67_3-3,train,dense,0.359161376953125,23,working
map67_4-1_010240_003072.png,map67_4-1,train,very_dense,0.4235725402832031,55,working
map67_2-1_005120_008192.png,map67_2-1,train,moderate,0.19694137573242188,15,working
map67_3-2_012800_009728.png,map67_3-2,train,moderate,0.23624038696289062,27,working
map67_2-1_004096_005632.png,map67_2-1,train,sparse,0.0024566650390625,1,working
map67_4-3_002560_000000.png,map67_4-3,val,sparse,0.10258102416992188,5,working
map67_2-3_008704_008704.png,map67_2-3,train,very_dense,0.4320411682128906,22,working
map67_2-1_011264_008192.png,map67_2-1,train,empty,0.00012969970703125,1,working
map67_4-3_007680_007680.png,map67_4-3,val,empty,0.0,0,working
map67_3-1_008704_002560.png,map67_3-1,train,very_dense,0.4755592346191406,33,working
map67_2-3_013312_010240.png,map67_2-3,train,empty,0.0,0,working
map67_1-2_008192_001536.png,map67_1-2,train,moderate,0.22517013549804688,17,working
map67_3-3_009216_008192.png,map67_3-3,train,sparse,0.10025405883789062,12,working
map67_1-3_004096_005120.png,map67_1-3,train,dense,0.28955078125,28,working
map67_3-1_006656_009216.png,map67_3-1,train,dense,0.2966270446777344,55,working
map67_2-2_002048_002048.png,map67_2-2,val,sparse,0.03070068359375,8,working
map67_3-3_002048_004608.png,map67_3-3,train,very_dense,0.482818603515625,26,working
map67_2-3_000000_006144.png,map67_2-3,train,dense,0.3007621765136719,27,sealed
map67_4-2_009728_009728.png,map67_4-2,train,very_dense,0.4713096618652344,21,sealed
map67_1-1_000000_003584.png,map67_1-1,val,moderate,0.2017059326171875,22,sealed
map67_2-4_004096_007168.png,map67_2-4,train,very_dense,0.3986778259277344,37,sealed
map67_4-4_003584_008704.png,map67_4-4,train,empty,0.0,0,sealed
map67_4-1_006656_001024.png,map67_4-1,train,empty,0.0,0,sealed
map67_1-4_007168_005120.png,map67_1-4,train,dense,0.2788429260253906,20,sealed
map67_3-4_004608_001536.png,map67_3-4,train,sparse,0.02106475830078125,4,sealed
map67_3-2_010240_002560.png,map67_3-2,train,dense,0.35509490966796875,15,sealed
map67_3-4_007168_008192.png,map67_3-4,train,empty,0.0,0,sealed
